timestamp,open,high,low,close,volume
1956-12-03 01:21:00+00:00,30000.14259072049,30019.77824917336,29999.746078635973,30000.560534927372,871
1956-12-08 01:21:00+00:00,30002.567139711387,30017.119121884134,29994.18498756427,30003.82432611184,395
1956-12-13 01:21:00+00:00,30002.170324836276,30013.929791812545,29998.69474013298,30002.69309377999,627
1956-12-18 01:21:00+00:00,30002.716532747385,30011.56153121329,29987.39432642539,30002.51174684115,710
1956-12-23 01:21:00+00:00,30001.814171017162,30003.931272233764,29987.161628421098,30003.76232832473,151
1956-12-28 01:21:00+00:00,30001.238459285752,30018.703289810685,29983.443564120196,30001.304665792093,976
1957-01-02 01:21:00+00:00,29999.575826961107,30005.775840491486,29992.942894097396,29998.212154132234,349
1957-01-07 01:21:00+00:00,29999.07307101658,30013.49127183481,29984.204348157957,29999.636958917366,168
1957-01-12 01:21:00+00:00,29998.671015471693,30000.940047287495,29990.714276602757,29997.10819241518,543
1957-01-17 01:21:00+00:00,29999.92675910909,30001.18309693723,29993.20287996415,29999.265859204006,724
1957-01-22 01:21:00+00:00,30000.422847567253,30000.988490048217,29987.920313561022,30000.14680321108,775
1957-01-27 01:21:00+00:00,29998.842974200797,29999.850835000507,29992.492380026775,29999.416641932316,120
1957-02-01 01:21:00+00:00,29998.171440785278,30014.38318738715,29992.54132161116,29997.66341399084,813
1957-02-06 01:21:00+00:00,29998.412521496735,30016.244458950176,29987.467387171655,29997.63602807577,975
1957-02-11 01:21:00+00:00,29999.507955485184,30011.756358105384,29997.25699997473,29999.93219386034,984
1957-02-16 01:21:00+00:00,30000.249550814362,30013.42652345474,29996.135487338757,29998.84844461172,855
1957-02-21 01:21:00+00:00,30000.44826157747,30004.507066631562,29992.416629740004,30000.2240994883,896
1957-02-26 01:21:00+00:00,30002.001537102333,30006.4045644199,29995.280237587183,30001.430620352316,608
1957-03-03 01:21:00+00:00,30002.410842558373,30013.412821921956,29998.137152041643,30001.36899358476,490
1957-03-08 01:21:00+00:00,30002.00371881674,30012.176249358832,29997.003546717242,30001.561649980962,800
1957-03-13 01:21:00+00:00,30002.458864340697,30003.584400041967,29993.999178811882,30001.664523134696,861
1957-03-18 01:21:00+00:00,30001.89725081767,30011.187259025366,29998.316995141282,30002.471404220974,808
1957-03-23 01:21:00+00:00,30001.634459929206,30012.37663370235,29994.695176183195,30001.29038739547,151
1957-03-28 01:21:00+00:00,30001.971232115342,30013.28283454688,29987.253250344012,30003.503411318492,678
1957-04-02 01:21:00+00:00,30001.92343126296,30016.915950615734,29983.149821827603,30000.850125746623,113
1957-04-07 01:21:00+00:00,30002.594445162853,30014.23221340444,29997.366595448126,30004.2617985241,723
1957-04-12 01:21:00+00:00,30003.00542038598,30016.465549209417,29986.087529966986,30004.035119681434,858
1957-04-17 01:21:00+00:00,30002.388782866237,30011.625446812155,29983.422600863483,30001.183786855137,979
1957-04-22 01:21:00+00:00,30004.47515066496,30013.91782112858,29991.484165545822,30006.398121002443,605
1957-04-27 01:21:00+00:00,30005.03770920399,30009.34853660327,29991.565970590564,30004.947942682233,929
1957-05-02 01:21:00+00:00,30007.268126880586,30009.96924683578,29998.17065180615,30007.562203231253,359
1957-05-07 01:21:00+00:00,30007.694104069833,30012.76472180495,30000.570447886774,30008.214719439624,543
1957-05-12 01:21:00+00:00,30007.82485706333,30018.4324002279,30002.927638880275,30007.105460262035,629
1957-05-17 01:21:00+00:00,30008.899606272233,30020.986324476853,29998.61931200127,30009.316387090326,127
1957-05-22 01:21:00+00:00,30007.810733926155,30016.572749846833,29989.439026501692,30008.076321068558,409
1957-05-27 01:21:00+00:00,30005.67088545754,30022.23048831934,29994.29761479163,30007.507694012264,268
1957-06-01 01:21:00+00:00,30006.828275564498,30015.570179486906,29995.49214776691,30007.536856049835,576
1957-06-06 01:21:00+00:00,30005.820928283243,30013.482008625226,29991.4205419371,30005.40921433657,964
1957-06-11 01:21:00+00:00,30005.563658263363,30014.42943678872,30002.682326979608,30004.55541214502,775
1957-06-16 01:21:00+00:00,30004.476034216663,30013.939804253034,29988.944343100018,30005.732314995403,259
